iter	Passed	Remaining
401	15306	22769
402	15341	22727
403	15384	22696
404	15424	22660
405	15465	22626
406	15499	22582
407	15535	22541
408	15577	22509
409	15611	22465
410	15649	22427
411	15690	22392
412	15726	22352
413	15766	22316
414	15803	22276
415	15837	22232
416	15872	22190
417	15908	22150
418	15947	22113
419	15983	22071
420	16019	22031
421	16053	21987
422	16094	21953
423	16127	21909
424	16169	21876
425	16206	21837
426	16238	21790
427	16275	21751
428	16312	21711
429	16357	21682
430	16395	21645
431	16429	21601
432	16464	21559
433	16496	21514
434	16530	21471
435	16563	21426
436	16598	21384
437	16634	21344
438	16669	21301
439	16703	21258
440	16740	21219
441	16779	21182
442	16813	21139
443	16846	21096
444	16890	21065
445	16924	21023
446	16958	20979
447	16992	20936
448	17031	20900
449	17072	20866
450	17108	20825
451	17145	20786
452	17182	20747
453	17219	20709
454	17259	20673
455	17294	20632
456	17332	20594
457	17363	20548
458	17398	20506
459	17434	20467
460	17473	20430
461	17506	20386
462	17536	20339
463	17576	20303
464	17608	20259
465	17646	20221
466	17685	20185
467	17720	20143
468	17754	20101
469	17789	20060
470	17826	20021
471	17866	19986
472	17909	19954
473	17941	19909
474	17976	19869
475	18010	19826
476	18045	19785
477	18083	19748
478	18119	19708
479	18160	19674
480	18198	19636
481	18231	19592
482	18265	19550
483	18299	19509
484	18333	19467
485	18373	19432
486	18404	19387
487	18445	19353
488	18488	19320
489	18527	19284
490	18564	19245
491	18607	19212
492	18648	19178
493	18687	19141
494	18728	19106
495	18765	19068
496	18805	19032
497	18843	18994
498	18883	18959
499	18914	18914
500	18946	18870
501	18985	18834
502	19021	18794
503	19057	18755
504	19093	18715
505	19132	18678
506	19166	18637
507	19206	18601
508	19239	18559
509	19276	18520
510	19312	18480
511	19349	18442
512	19382	18399
513	19420	18363
514	19456	18323
515	19494	18285
516	19529	18245
517	19564	18204
518	19599	18164
519	19634	18124
520	19676	18089
521	19712	18050
522	19746	18009
523	19782	17970
524	19816	17928
525	19850	17888
526	19883	17846
527	19925	17812
528	19959	17770
529	19996	17732
530	20036	17696
531	20070	17656
532	20105	17615
533	20142	17577
534	20179	17539
535	20216	17500
536	20252	17461
537	20289	17423
538	20326	17384
539	20364	17347
540	20405	17312
541	20441	17273
542	20475	17232
543	20514	17195
544	20551	17157
545	20587	17118
546	20623	17079
547	20661	17041
548	20700	17005
549	20733	16963
550	20767	16922
551	20798	16880
552	20834	16841
553	20867	16799
554	20908	16764
555	20945	16726
556	20986	16691
557	21025	16654
558	21060	16615
559	21096	16576
560	21131	16536
561	21165	16495
562	21203	16458
563	21234	16415
564	21267	16374
565	21302	16334
566	21343	16299
567	21378	16259
568	21414	16220
569	21450	16181
570	21484	16141
571	21522	16104
572	21561	16067
573	21593	16026
574	21624	15983
575	21665	15948
576	21696	15905
577	21735	15869
578	21773	15831
579	21813	15795
580	21846	15755
581	21881	15715
582	21918	15677
583	21953	15638
584	21989	15599
585	22032	15565
586	22064	15524
587	22107	15490
588	22141	15450
589	22177	15411
590	22210	15370
591	22252	15336
592	22289	15297
593	22322	15257
594	22353	15215
595	22394	15180
596	22431	15142
597	22469	15104
598	22504	15065
599	22541	15027
600	22581	14991
601	22618	14953
602	22657	14917
603	22694	14879
604	22732	14841
605	22766	14802
606	22805	14765
